idx	imgs	err1	err2	res1	res2
4	82-2##82-5	0	1	{'org_sentence': 'The picture on the left has several pencils of different colors, and the picture on the right has only one pencil.', 'sentence': 'The picture on the left has several pencils of different colors, and the picture on the right has only one pencil.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The picture on the left has several pencils of different colors, and the picture on the right has only one pencil.', 'sentence': 'Left part scenario:a circle of color pencils ,right part scenario: a white sheet. Therefore, the sentence is right or wrong: The picture on the left has several pencils of different colors, and the picture on the right has only one pencil.', 'prediction': 0, 'label': 1}
7	69-3##69-8	1	0	{'org_sentence': 'There is no one in the bedroom on the left, and there is someone in the bedroom on the right.', 'sentence': 'There is no one in the bedroom on the left, and there is someone in the bedroom on the right.', 'prediction': 0, 'label': 1}	{'org_sentence': 'There is no one in the bedroom on the left, and there is someone in the bedroom on the right.', 'sentence': 'Left part scenario:bedroom ,right part scenario: father and daughter in bed. Therefore, the sentence is right or wrong: There is no one in the bedroom on the left, and there is someone in the bedroom on the right.', 'prediction': 1, 'label': 1}
15	83-1##83-5	-1	0	{'org_sentence': 'The picture on the right has only a blackboard without people, and the picture on the left has a blackboard with people.', 'sentence': 'The picture on the right has only a blackboard without people, and the picture on the left has a blackboard with people.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the right has only a blackboard without people, and the picture on the left has a blackboard with people.', 'sentence': 'Left part scenario:classroom ,right part scenario: a classroom. Therefore, the sentence is right or wrong: The picture on the right has only a blackboard without people, and the picture on the left has a blackboard with people.', 'prediction': 0, 'label': 0}
21	84-3##84-7	-1	0	{'org_sentence': 'The picture on the left has exactly one brush, and the picture on the right has several brushes.', 'sentence': 'The picture on the left has exactly one brush, and the picture on the right has several brushes.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the left has exactly one brush, and the picture on the right has several brushes.', 'sentence': 'Left part scenario:japanese calligraphy ,right part scenario: a bathroom sink. Therefore, the sentence is right or wrong: The picture on the left has exactly one brush, and the picture on the right has several brushes.', 'prediction': 0, 'label': 0}
23	84-6##84-11	0	1	{'org_sentence': 'The picture on the left has exactly one brush, and the picture on the right has several brushes.', 'sentence': 'The picture on the left has exactly one brush, and the picture on the right has several brushes.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The picture on the left has exactly one brush, and the picture on the right has several brushes.', 'sentence': 'Left part scenario:chinese calligraphy ,right part scenario: a closet. Therefore, the sentence is right or wrong: The picture on the left has exactly one brush, and the picture on the right has several brushes.', 'prediction': 0, 'label': 1}
26	89-3##89-8	-1	0	{'org_sentence': 'The picture on the left is a shadow puppet master, and the picture on the right is a shadow puppet stage.', 'sentence': 'The picture on the left is a shadow puppet master, and the picture on the right is a shadow puppet stage.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the left is a shadow puppet master, and the picture on the right is a shadow puppet stage.', 'sentence': 'Left part scenario:a painting ,right part scenario: a picture of an old man sitting on the floor. Therefore, the sentence is right or wrong: The picture on the left is a shadow puppet master, and the picture on the right is a shadow puppet stage.', 'prediction': 0, 'label': 0}
29	81-7##81-5	0	-1	{'org_sentence': 'In one picture there are two people in the farmland, and the other picture shows exactly one person working with a hoe.', 'sentence': 'In one picture there are two people in the farmland, and the other picture shows exactly one person working with a hoe.', 'prediction': 0, 'label': 0}	{'org_sentence': 'In one picture there are two people in the farmland, and the other picture shows exactly one person working with a hoe.', 'sentence': 'Left part scenario:a plowed field ,right part scenario: farm. Therefore, the sentence is right or wrong: In one picture there are two people in the farmland, and the other picture shows exactly one person working with a hoe.', 'prediction': 1, 'label': 0}
33	75-12##75-6	0	-1	{'org_sentence': 'There are several white or light-colored villas on the left, and the villa on the right is not white.', 'sentence': 'There are several white or light-colored villas on the left, and the villa on the right is not white.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There are several white or light-colored villas on the left, and the villa on the right is not white.', 'sentence': 'Left part scenario:house ,right part scenario: a pond in front of a building. Therefore, the sentence is right or wrong: There are several white or light-colored villas on the left, and the villa on the right is not white.', 'prediction': 1, 'label': 0}
36	75-10##75-7	0	-1	{'org_sentence': 'There are several white or light-colored villas on the left, and the villa on the right is not white.', 'sentence': 'There are several white or light-colored villas on the left, and the villa on the right is not white.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There are several white or light-colored villas on the left, and the villa on the right is not white.', 'sentence': 'Left part scenario:a mansion with a fountain in the front yard ,right part scenario: a house with a car parked in front of it. Therefore, the sentence is right or wrong: There are several white or light-colored villas on the left, and the villa on the right is not white.', 'prediction': 1, 'label': 0}
39	72-3##72-10	1	0	{'org_sentence': 'One of the pictures shows the courtyard from a bird&#39;s-eye view, and the other shows the courtyard and green trees.', 'sentence': 'One of the pictures shows the courtyard from a bird&#39;s-eye view, and the other shows the courtyard and green trees.', 'prediction': 0, 'label': 1}	{'org_sentence': 'One of the pictures shows the courtyard from a bird&#39;s-eye view, and the other shows the courtyard and green trees.', 'sentence': 'Left part scenario:a garden ,right part scenario: a street scene made of lego. Therefore, the sentence is right or wrong: One of the pictures shows the courtyard from a bird&#39;s-eye view, and the other shows the courtyard and green trees.', 'prediction': 1, 'label': 1}
40	72-11##72-8	0	1	{'org_sentence': 'One of the pictures shows the courtyard from a bird&#39;s-eye view, and the other shows the courtyard and green trees.', 'sentence': 'One of the pictures shows the courtyard from a bird&#39;s-eye view, and the other shows the courtyard and green trees.', 'prediction': 1, 'label': 1}	{'org_sentence': 'One of the pictures shows the courtyard from a bird&#39;s-eye view, and the other shows the courtyard and green trees.', 'sentence': 'Left part scenario:a model of a building ,right part scenario: asian. Therefore, the sentence is right or wrong: One of the pictures shows the courtyard from a bird&#39;s-eye view, and the other shows the courtyard and green trees.', 'prediction': 0, 'label': 1}
